20:59:26    0 ****************************************************
20:59:26    0 ** Dragonfly version 4.4 **
20:59:27    0 GameManager::run(): Can't keep up! frame_time 33 ms, split 226 ms
21:02:04 4658 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:04 4677 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:04 4680 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:05 4687 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:05 4701 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:02:05 4704 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:02:05 4711 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:05 4712 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:06 4716 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:06 4731 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:06 4732 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:06 4733 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:06 4734 GameManager::run(): Can't keep up! frame_time 33 ms, split 36 ms
21:02:06 4735 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:02:06 4740 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:02:06 4741 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:02:06 4744 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:07 4747 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:02:07 4750 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:07 4758 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:07 4761 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:07 4764 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:02:07 4765 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:07 4770 GameManager::run(): Can't keep up! frame_time 33 ms, split 37 ms
21:02:08 4776 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:02:08 4777 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:08 4780 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:08 4783 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:08 4784 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:08 4785 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:02:08 4786 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:08 4789 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:08 4790 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:08 4791 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:02:08 4794 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:02:08 4795 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:02:08 4798 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:08 4801 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:08 4802 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:08 4803 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:09 4804 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:02:09 4805 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:09 4806 GameManager::run(): Can't keep up! frame_time 33 ms, split 36 ms
21:02:09 4807 GameManager::run(): Can't keep up! frame_time 33 ms, split 38 ms
21:02:09 4808 GameManager::run(): Can't keep up! frame_time 33 ms, split 36 ms
21:02:09 4809 GameManager::run(): Can't keep up! frame_time 33 ms, split 38 ms
21:02:09 4810 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:09 4811 GameManager::run(): Can't keep up! frame_time 33 ms, split 37 ms
21:02:09 4812 GameManager::run(): Can't keep up! frame_time 33 ms, split 40 ms
21:02:09 4813 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:09 4814 GameManager::run(): Can't keep up! frame_time 33 ms, split 37 ms
21:02:09 4815 GameManager::run(): Can't keep up! frame_time 33 ms, split 37 ms
21:02:09 4816 GameManager::run(): Can't keep up! frame_time 33 ms, split 36 ms
21:02:09 4817 GameManager::run(): Can't keep up! frame_time 33 ms, split 37 ms
21:02:09 4818 GameManager::run(): Can't keep up! frame_time 33 ms, split 37 ms
21:02:09 4819 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:09 4820 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:09 4821 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:09 4822 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:09 4823 GameManager::run(): Can't keep up! frame_time 33 ms, split 41 ms
21:02:09 4824 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:09 4825 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:09 4826 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:09 4829 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:09 4830 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:09 4831 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:09 4832 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:10 4833 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:10 4834 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:10 4835 GameManager::run(): Can't keep up! frame_time 33 ms, split 38 ms
21:02:10 4836 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:10 4837 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:10 4838 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:02:10 4839 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:10 4840 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:10 4841 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:10 4842 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:10 4843 GameManager::run(): Can't keep up! frame_time 33 ms, split 37 ms
21:02:10 4844 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:10 4845 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:10 4846 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:02:10 4847 GameManager::run(): Can't keep up! frame_time 33 ms, split 36 ms
21:02:10 4850 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:02:10 4851 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:10 4852 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:10 4853 GameManager::run(): Can't keep up! frame_time 33 ms, split 37 ms
21:02:10 4854 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:10 4855 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:10 4856 GameManager::run(): Can't keep up! frame_time 33 ms, split 36 ms
21:02:10 4859 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:10 4860 GameManager::run(): Can't keep up! frame_time 33 ms, split 44 ms
21:02:11 4861 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:02:11 4862 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:11 4863 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:11 4864 GameManager::run(): Can't keep up! frame_time 33 ms, split 41 ms
21:02:11 4865 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:11 4866 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:02:11 4867 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:11 4868 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:11 4869 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:02:11 4870 GameManager::run(): Can't keep up! frame_time 33 ms, split 39 ms
21:02:11 4875 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:11 4876 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:11 4877 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:11 4878 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:11 4879 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:11 4880 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:11 4881 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:11 4882 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:02:11 4883 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:11 4884 GameManager::run(): Can't keep up! frame_time 33 ms, split 37 ms
21:02:11 4885 GameManager::run(): Can't keep up! frame_time 33 ms, split 37 ms
21:02:11 4888 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:02:12 4891 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:12 4892 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:12 4906 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:12 4907 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:12 4911 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:12 4912 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:02:12 4913 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:12 4914 GameManager::run(): Can't keep up! frame_time 33 ms, split 40 ms
21:02:13 4924 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:13 4931 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:13 4937 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:13 4938 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:13 4939 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:13 4940 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:13 4943 GameManager::run(): Can't keep up! frame_time 33 ms, split 38 ms
21:02:13 4944 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:13 4947 GameManager::run(): Can't keep up! frame_time 33 ms, split 36 ms
21:02:13 4948 GameManager::run(): Can't keep up! frame_time 33 ms, split 39 ms
21:02:14 4949 GameManager::run(): Can't keep up! frame_time 33 ms, split 42 ms
21:02:14 4950 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:14 4955 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:14 4958 GameManager::run(): Can't keep up! frame_time 33 ms, split 36 ms
21:02:14 4959 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:14 4960 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:02:14 4961 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:14 4965 GameManager::run(): Can't keep up! frame_time 33 ms, split 90 ms
21:02:14 4966 WorldManager::shutDown(): Successfully stopped.
21:02:14 4966 ** Game stopped **
21:02:14 4966 ****************************************************
